orderID,freight,orderDate,requiredDate,shippedDate,shipName,shipCountry,shipRegion,shipCity,shipPostalCode,shipAddress
10259,3.25,1996-07-18 00:00:00.000,1996-08-15 00:00:00.000,1996-07-25 00:00:00.000,Centro comercial Moctezuma,Mexico,NULL,México D.F.,05022,Sierras de Granada 9993
10260,55.09,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-29 00:00:00.000,Ottilies Käseladen,Germany,NULL,Köln,50739,Mehrheimerstr. 369
10261,3.05,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-30 00:00:00.000,Que Delícia,02389-673,Rio de Janeiro," 12",RJ,Rua da Panificadora
10262,48.29,1996-07-22 00:00:00.000,1996-08-19 00:00:00.000,1996-07-25 00:00:00.000,Rattlesnake Canyon Grocery,USA,NM,Albuquerque,87110,2817 Milton Dr.
10263,146.06,1996-07-23 00:00:00.000,1996-08-20 00:00:00.000,1996-07-31 00:00:00.000,Ernst Handel,Austria,NULL,Graz,8010,Kirchgasse 6
10264,3.67,1996-07-24 00:00:00.000,1996-08-21 00:00:00.000,1996-08-23 00:00:00.000,Folk och fä HB,Sweden,NULL,Bräcke,S-844 67,Åkergatan 24
10265,55.28,1996-07-25 00:00:00.000,1996-08-22 00:00:00.000,1996-08-12 00:00:00.000,Blondel père et fils,67000,Strasbourg," place Kléber",NULL,24
10266,25.73,1996-07-26 00:00:00.000,1996-09-06 00:00:00.000,1996-07-31 00:00:00.000,Wartian Herkku,Finland,NULL,Oulu,90110,Torikatu 38
10267,208.58,1996-07-29 00:00:00.000,1996-08-26 00:00:00.000,1996-08-06 00:00:00.000,Frankenversand,Germany,NULL,München,80805,Berliner Platz 43
10268,66.29,1996-07-30 00:00:00.000,1996-08-27 00:00:00.000,1996-08-02 00:00:00.000,GROSELLA-Restaurante,Venezuela,DF,Caracas,1081,5ª Ave. Los Palos Grandes
10269,4.56,1996-07-31 00:00:00.000,1996-08-14 00:00:00.000,1996-08-09 00:00:00.000,White Clover Markets,USA,WA,Seattle,98124,1029 - 12th Ave. S.
10270,136.54,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-02 00:00:00.000,Wartian Herkku,Finland,NULL,Oulu,90110,Torikatu 38
10271,4.54,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-30 00:00:00.000,Split Rail Beer & Ale,USA,WY,Lander,82520,P.O. Box 555
10272,98.03,1996-08-02 00:00:00.000,1996-08-30 00:00:00.000,1996-08-06 00:00:00.000,Rattlesnake Canyon Grocery,USA,NM,Albuquerque,87110,2817 Milton Dr.
10273,76.07,1996-08-05 00:00:00.000,1996-09-02 00:00:00.000,1996-08-12 00:00:00.000,QUICK-Stop,Germany,NULL,Cunewalde,01307,Taucherstraße 10
10274,6.01,1996-08-06 00:00:00.000,1996-09-03 00:00:00.000,1996-08-16 00:00:00.000,Vins et alcools Chevalier,France,NULL,Reims,51100,59 rue de l'Abbaye
10275,26.93,1996-08-07 00:00:00.000,1996-09-04 00:00:00.000,1996-08-09 00:00:00.000,Magazzini Alimentari Riuniti,Italy,NULL,Bergamo,24100,Via Ludovico il Moro 22
10276,13.84,1996-08-08 00:00:00.000,1996-08-22 00:00:00.000,1996-08-14 00:00:00.000,Tortuga Restaurante,Mexico,NULL,México D.F.,05033,Avda. Azteca 123
10277,125.77,1996-08-09 00:00:00.000,1996-09-06 00:00:00.000,1996-08-13 00:00:00.000,Morgenstern Gesundkost,Germany,NULL,Leipzig,04179,Heerstr. 22
10278,92.69,1996-08-12 00:00:00.000,1996-09-09 00:00:00.000,1996-08-16 00:00:00.000,Berglunds snabbköp,Sweden,NULL,Luleå,S-958 22,Berguvsvägen  8
10279,25.83,1996-08-13 00:00:00.000,1996-09-10 00:00:00.000,1996-08-16 00:00:00.000,Lehmanns Marktstand,Germany,NULL,Frankfurt a.M.,60528,Magazinweg 7
10280,8.98,1996-08-14 00:00:00.000,1996-09-11 00:00:00.000,1996-09-12 00:00:00.000,Berglunds snabbköp,Sweden,NULL,Luleå,S-958 22,Berguvsvägen  8
10281,2.94,1996-08-14 00:00:00.000,1996-08-28 00:00:00.000,1996-08-21 00:00:00.000,Romero y tomillo,28001,Madrid," 1",NULL,Gran Vía
10282,12.69,1996-08-15 00:00:00.000,1996-09-12 00:00:00.000,1996-08-21 00:00:00.000,Romero y tomillo,28001,Madrid," 1",NULL,Gran Vía
10283,84.81,1996-08-16 00:00:00.000,1996-09-13 00:00:00.000,1996-08-23 00:00:00.000,LILA-Supermercado,Venezuela,Lara,Barquisimeto,3508,Carrera 52 con Ave. Bolívar #65-98 Llano Largo
10284,76.56,1996-08-19 00:00:00.000,1996-09-16 00:00:00.000,1996-08-27 00:00:00.000,Lehmanns Marktstand,Germany,NULL,Frankfurt a.M.,60528,Magazinweg 7
10285,76.83,1996-08-20 00:00:00.000,1996-09-17 00:00:00.000,1996-08-26 00:00:00.000,QUICK-Stop,Germany,NULL,Cunewalde,01307,Taucherstraße 10
10286,229.24,1996-08-21 00:00:00.000,1996-09-18 00:00:00.000,1996-08-30 00:00:00.000,QUICK-Stop,Germany,NULL,Cunewalde,01307,Taucherstraße 10
10287,12.76,1996-08-22 00:00:00.000,1996-09-19 00:00:00.000,1996-08-28 00:00:00.000,Ricardo Adocicados,02389-890,Rio de Janeiro," 267",RJ,Av. Copacabana
10288,7.45,1996-08-23 00:00:00.000,1996-09-20 00:00:00.000,1996-09-03 00:00:00.000,Reggiani Caseifici,Italy,NULL,Reggio Emilia,42100,Strada Provinciale 124
10289,22.77,1996-08-26 00:00:00.000,1996-09-23 00:00:00.000,1996-08-28 00:00:00.000,B's Beverages,UK,NULL,London,EC2 5NT,Fauntleroy Circus
10290,79.70,1996-08-27 00:00:00.000,1996-09-24 00:00:00.000,1996-09-03 00:00:00.000,Comércio Mineiro,05432-043,Sao Paulo," 23",SP,Av. dos Lusíadas
10291,6.40,1996-08-27 00:00:00.000,1996-09-24 00:00:00.000,1996-09-04 00:00:00.000,Que Delícia,02389-673,Rio de Janeiro," 12",RJ,Rua da Panificadora
10292,1.35,1996-08-28 00:00:00.000,1996-09-25 00:00:00.000,1996-09-02 00:00:00.000,Tradiçao Hipermercados,05634-030,Sao Paulo," 414",SP,Av. Inês de Castro
10293,21.18,1996-08-29 00:00:00.000,1996-09-26 00:00:00.000,1996-09-11 00:00:00.000,Tortuga Restaurante,Mexico,NULL,México D.F.,05033,Avda. Azteca 123
10294,147.26,1996-08-30 00:00:00.000,1996-09-27 00:00:00.000,1996-09-05 00:00:00.000,Rattlesnake Canyon Grocery,USA,NM,Albuquerque,87110,2817 Milton Dr.
10295,1.15,1996-09-02 00:00:00.000,1996-09-30 00:00:00.000,1996-09-10 00:00:00.000,Vins et alcools Chevalier,France,NULL,Reims,51100,59 rue de l'Abbaye
10296,0.12,1996-09-03 00:00:00.000,1996-10-01 00:00:00.000,1996-09-11 00:00:00.000,LILA-Supermercado,Venezuela,Lara,Barquisimeto,3508,Carrera 52 con Ave. Bolívar #65-98 Llano Largo
10297,5.74,1996-09-04 00:00:00.000,1996-10-16 00:00:00.000,1996-09-10 00:00:00.000,Blondel père et fils,67000,Strasbourg," place Kléber",NULL,24
10298,168.22,1996-09-05 00:00:00.000,1996-10-03 00:00:00.000,1996-09-11 00:00:00.000,Hungry Owl All-Night Grocers,Ireland,Co. Cork,Cork,NULL,8 Johnstown Road
10299,29.76,1996-09-06 00:00:00.000,1996-10-04 00:00:00.000,1996-09-13 00:00:00.000,Ricardo Adocicados,02389-890,Rio de Janeiro," 267",RJ,Av. Copacabana
10300,17.68,1996-09-09 00:00:00.000,1996-10-07 00:00:00.000,1996-09-18 00:00:00.000,Magazzini Alimentari Riuniti,Italy,NULL,Bergamo,24100,Via Ludovico il Moro 22
10301,45.08,1996-09-09 00:00:00.000,1996-10-07 00:00:00.000,1996-09-17 00:00:00.000,Die Wandernde Kuh,Germany,NULL,Stuttgart,70563,Adenauerallee 900
10302,6.27,1996-09-10 00:00:00.000,1996-10-08 00:00:00.000,1996-10-09 00:00:00.000,Suprêmes délices,B-6000,Charleroi," 255",NULL,Boulevard Tirou
10303,107.83,1996-09-11 00:00:00.000,1996-10-09 00:00:00.000,1996-09-18 00:00:00.000,Godos Cocina Típica,41101,Sevilla," 33",NULL,C/ Romero
10304,63.79,1996-09-12 00:00:00.000,1996-10-10 00:00:00.000,1996-09-17 00:00:00.000,Tortuga Restaurante,Mexico,NULL,México D.F.,05033,Avda. Azteca 123
10305,257.62,1996-09-13 00:00:00.000,1996-10-11 00:00:00.000,1996-10-09 00:00:00.000,Old World Delicatessen,USA,AK,Anchorage,99508,2743 Bering St.
10306,7.56,1996-09-16 00:00:00.000,1996-10-14 00:00:00.000,1996-09-23 00:00:00.000,Romero y tomillo,28001,Madrid," 1",NULL,Gran Vía
10307,0.56,1996-09-17 00:00:00.000,1996-10-15 00:00:00.000,1996-09-25 00:00:00.000,Lonesome Pine Restaurant,USA,OR,Portland,97219,89 Chiaroscuro Rd.
10308,1.61,1996-09-18 00:00:00.000,1996-10-16 00:00:00.000,1996-09-24 00:00:00.000,Ana Trujillo Emparedados y helados,Mexico,NULL,México D.F.,05021,Avda. de la Constitución 2222
10309,47.30,1996-09-19 00:00:00.000,1996-10-17 00:00:00.000,1996-10-23 00:00:00.000,Hungry Owl All-Night Grocers,Ireland,Co. Cork,Cork,NULL,8 Johnstown Road
10310,17.52,1996-09-20 00:00:00.000,1996-10-18 00:00:00.000,1996-09-27 00:00:00.000,The Big Cheese,USA,OR,Portland,97201,89 Jefferson Way Suite 2
10311,24.69,1996-09-20 00:00:00.000,1996-10-04 00:00:00.000,1996-09-26 00:00:00.000,Du monde entier,44000,Nantes," rue des Cinquante Otages",NULL,67
10312,40.26,1996-09-23 00:00:00.000,1996-10-21 00:00:00.000,1996-10-03 00:00:00.000,Die Wandernde Kuh,Germany,NULL,Stuttgart,70563,Adenauerallee 900
10313,1.96,1996-09-24 00:00:00.000,1996-10-22 00:00:00.000,1996-10-04 00:00:00.000,QUICK-Stop,Germany,NULL,Cunewalde,01307,Taucherstraße 10
10314,74.16,1996-09-25 00:00:00.000,1996-10-23 00:00:00.000,1996-10-04 00:00:00.000,Rattlesnake Canyon Grocery,USA,NM,Albuquerque,87110,2817 Milton Dr.
10315,41.76,1996-09-26 00:00:00.000,1996-10-24 00:00:00.000,1996-10-03 00:00:00.000,Island Trading,UK,Isle of Wight,Cowes,PO31 7PJ,Garden House Crowther Way
10316,150.15,1996-09-27 00:00:00.000,1996-10-25 00:00:00.000,1996-10-08 00:00:00.000,Rattlesnake Canyon Grocery,USA,NM,Albuquerque,87110,2817 Milton Dr.
10317,12.69,1996-09-30 00:00:00.000,1996-10-28 00:00:00.000,1996-10-10 00:00:00.000,Lonesome Pine Restaurant,USA,OR,Portland,97219,89 Chiaroscuro Rd.
10318,4.73,1996-10-01 00:00:00.000,1996-10-29 00:00:00.000,1996-10-04 00:00:00.000,Island Trading,UK,Isle of Wight,Cowes,PO31 7PJ,Garden House Crowther Way
10319,64.50,1996-10-02 00:00:00.000,1996-10-30 00:00:00.000,1996-10-11 00:00:00.000,Tortuga Restaurante,Mexico,NULL,México D.F.,05033,Avda. Azteca 123
10320,34.57,1996-10-03 00:00:00.000,1996-10-17 00:00:00.000,1996-10-18 00:00:00.000,Wartian Herkku,Finland,NULL,Oulu,90110,Torikatu 38
10321,3.43,1996-10-03 00:00:00.000,1996-10-31 00:00:00.000,1996-10-11 00:00:00.000,Island Trading,UK,Isle of Wight,Cowes,PO31 7PJ,Garden House Crowther Way
10322,0.40,1996-10-04 00:00:00.000,1996-11-01 00:00:00.000,1996-10-23 00:00:00.000,Pericles Comidas clásicas,Mexico,NULL,México D.F.,05033,Calle Dr. Jorge Cash 321
10323,4.88,1996-10-07 00:00:00.000,1996-11-04 00:00:00.000,1996-10-14 00:00:00.000,Königlich Essen,Germany,NULL,Brandenburg,14776,Maubelstr. 90
10324,214.27,1996-10-08 00:00:00.000,1996-11-05 00:00:00.000,1996-10-10 00:00:00.000,Save-a-lot Markets,USA,ID,Boise,83720,187 Suffolk Ln.
10325,64.86,1996-10-09 00:00:00.000,1996-10-23 00:00:00.000,1996-10-14 00:00:00.000,Königlich Essen,Germany,NULL,Brandenburg,14776,Maubelstr. 90
10326,77.92,1996-10-10 00:00:00.000,1996-11-07 00:00:00.000,1996-10-14 00:00:00.000,Bólido Comidas preparadas,28023,Madrid," 67",NULL,C/ Araquil
10327,63.36,1996-10-11 00:00:00.000,1996-11-08 00:00:00.000,1996-10-14 00:00:00.000,Folk och fä HB,Sweden,NULL,Bräcke,S-844 67,Åkergatan 24
10328,87.03,1996-10-14 00:00:00.000,1996-11-11 00:00:00.000,1996-10-17 00:00:00.000,Furia Bacalhau e Frutos do Mar,Portugal,NULL,Lisboa,1675,Jardim das rosas n. 32
10329,191.67,1996-10-15 00:00:00.000,1996-11-26 00:00:00.000,1996-10-23 00:00:00.000,Split Rail Beer & Ale,USA,WY,Lander,82520,P.O. Box 555
10330,12.75,1996-10-16 00:00:00.000,1996-11-13 00:00:00.000,1996-10-28 00:00:00.000,LILA-Supermercado,Venezuela,Lara,Barquisimeto,3508,Carrera 52 con Ave. Bolívar #65-98 Llano Largo
10331,10.19,1996-10-16 00:00:00.000,1996-11-27 00:00:00.000,1996-10-21 00:00:00.000,Bon app',13008,Marseille," rue des Bouchers",NULL,12
10332,52.84,1996-10-17 00:00:00.000,1996-11-28 00:00:00.000,1996-10-21 00:00:00.000,Mère Paillarde,Canada,Québec,Montréal,H1J 1C3,43 rue St. Laurent
10333,0.59,1996-10-18 00:00:00.000,1996-11-15 00:00:00.000,1996-10-25 00:00:00.000,Wartian Herkku,Finland,NULL,Oulu,90110,Torikatu 38
10334,8.56,1996-10-21 00:00:00.000,1996-11-18 00:00:00.000,1996-10-28 00:00:00.000,Victuailles en stock,69004,Lyon," rue du Commerce",NULL,2
10335,42.11,1996-10-22 00:00:00.000,1996-11-19 00:00:00.000,1996-10-24 00:00:00.000,Hungry Owl All-Night Grocers,Ireland,Co. Cork,Cork,NULL,8 Johnstown Road
10336,15.51,1996-10-23 00:00:00.000,1996-11-20 00:00:00.000,1996-10-25 00:00:00.000,Princesa Isabel Vinhos,Portugal,NULL,Lisboa,1756,Estrada da saúde n. 58
10337,108.26,1996-10-24 00:00:00.000,1996-11-21 00:00:00.000,1996-10-29 00:00:00.000,Frankenversand,Germany,NULL,München,80805,Berliner Platz 43
10338,84.21,1996-10-25 00:00:00.000,1996-11-22 00:00:00.000,1996-10-29 00:00:00.000,Old World Delicatessen,USA,AK,Anchorage,99508,2743 Bering St.
10339,15.66,1996-10-28 00:00:00.000,1996-11-25 00:00:00.000,1996-11-04 00:00:00.000,Mère Paillarde,Canada,Québec,Montréal,H1J 1C3,43 rue St. Laurent
10340,166.31,1996-10-29 00:00:00.000,1996-11-26 00:00:00.000,1996-11-08 00:00:00.000,Bon app',13008,Marseille," rue des Bouchers",NULL,12
10341,26.78,1996-10-29 00:00:00.000,1996-11-26 00:00:00.000,1996-11-05 00:00:00.000,Simons bistro,Denmark,NULL,Kobenhavn,1734,Vinbæltet 34
10342,54.83,1996-10-30 00:00:00.000,1996-11-13 00:00:00.000,1996-11-04 00:00:00.000,Frankenversand,Germany,NULL,München,80805,Berliner Platz 43
10343,110.37,1996-10-31 00:00:00.000,1996-11-28 00:00:00.000,1996-11-06 00:00:00.000,Lehmanns Marktstand,Germany,NULL,Frankfurt a.M.,60528,Magazinweg 7
10344,23.29,1996-11-01 00:00:00.000,1996-11-29 00:00:00.000,1996-11-05 00:00:00.000,White Clover Markets,USA,WA,Seattle,98124,1029 - 12th Ave. S.
10345,249.06,1996-11-04 00:00:00.000,1996-12-02 00:00:00.000,1996-11-11 00:00:00.000,QUICK-Stop,Germany,NULL,Cunewalde,01307,Taucherstraße 10
10346,142.08,1996-11-05 00:00:00.000,1996-12-17 00:00:00.000,1996-11-08 00:00:00.000,Rattlesnake Canyon Grocery,USA,NM,Albuquerque,87110,2817 Milton Dr.
10347,3.10,1996-11-06 00:00:00.000,1996-12-04 00:00:00.000,1996-11-08 00:00:00.000,Familia Arquibaldo,05442-030,Sao Paulo," 92",SP,Rua Orós
10348,0.78,1996-11-07 00:00:00.000,1996-12-05 00:00:00.000,1996-11-15 00:00:00.000,Die Wandernde Kuh,Germany,NULL,Stuttgart,70563,Adenauerallee 900
10349,8.63,1996-11-08 00:00:00.000,1996-12-06 00:00:00.000,1996-11-15 00:00:00.000,Split Rail Beer & Ale,USA,WY,Lander,82520,P.O. Box 555
10350,64.19,1996-11-11 00:00:00.000,1996-12-09 00:00:00.000,1996-12-03 00:00:00.000,La maison d'Asie,France,NULL,Toulouse,31000,1 rue Alsace-Lorraine
10351,162.33,1996-11-11 00:00:00.000,1996-12-09 00:00:00.000,1996-11-20 00:00:00.000,Ernst Handel,Austria,NULL,Graz,8010,Kirchgasse 6
10352,1.30,1996-11-12 00:00:00.000,1996-11-26 00:00:00.000,1996-11-18 00:00:00.000,Furia Bacalhau e Frutos do Mar,Portugal,NULL,Lisboa,1675,Jardim das rosas n. 32
10353,360.63,1996-11-13 00:00:00.000,1996-12-11 00:00:00.000,1996-11-25 00:00:00.000,Piccolo und mehr,Austria,NULL,Salzburg,5020,Geislweg 14
10354,53.80,1996-11-14 00:00:00.000,1996-12-12 00:00:00.000,1996-11-20 00:00:00.000,Pericles Comidas clásicas,Mexico,NULL,México D.F.,05033,Calle Dr. Jorge Cash 321
10355,41.95,1996-11-15 00:00:00.000,1996-12-13 00:00:00.000,1996-11-20 00:00:00.000,Around the Horn,UK,Essex,Colchester,CO7 6JX,Brook Farm Stratford St. Mary
10356,36.71,1996-11-18 00:00:00.000,1996-12-16 00:00:00.000,1996-11-27 00:00:00.000,Die Wandernde Kuh,Germany,NULL,Stuttgart,70563,Adenauerallee 900
10357,34.88,1996-11-19 00:00:00.000,1996-12-17 00:00:00.000,1996-12-02 00:00:00.000,LILA-Supermercado,Venezuela,Lara,Barquisimeto,3508,Carrera 52 con Ave. Bolívar #65-98 Llano Largo
10358,19.64,1996-11-20 00:00:00.000,1996-12-18 00:00:00.000,1996-11-27 00:00:00.000,La maison d'Asie,France,NULL,Toulouse,31000,1 rue Alsace-Lorraine
10359,288.43,1996-11-21 00:00:00.000,1996-12-19 00:00:00.000,1996-11-26 00:00:00.000,Seven Seas Imports,UK,NULL,London,OX15 4NB,90 Wadhurst Rd.
10360,131.70,1996-11-22 00:00:00.000,1996-12-20 00:00:00.000,1996-12-02 00:00:00.000,Blondel père et fils,67000,Strasbourg," place Kléber",NULL,24
10361,183.17,1996-11-22 00:00:00.000,1996-12-20 00:00:00.000,1996-12-03 00:00:00.000,QUICK-Stop,Germany,NULL,Cunewalde,01307,Taucherstraße 10
10362,96.04,1996-11-25 00:00:00.000,1996-12-23 00:00:00.000,1996-11-28 00:00:00.000,Bon app',13008,Marseille," rue des Bouchers",NULL,12
10363,30.54,1996-11-26 00:00:00.000,1996-12-24 00:00:00.000,1996-12-04 00:00:00.000,Drachenblut Delikatessen,Germany,NULL,Aachen,52066,Walserweg 21
10364,71.97,1996-11-26 00:00:00.000,1997-01-07 00:00:00.000,1996-12-04 00:00:00.000,Eastern Connection,UK,NULL,London,WX3 6FW,35 King George
10365,22.00,1996-11-27 00:00:00.000,1996-12-25 00:00:00.000,1996-12-02 00:00:00.000,Antonio Moreno Taquería,Mexico,NULL,México D.F.,05023,Mataderos  2312
10366,10.14,1996-11-28 00:00:00.000,1997-01-09 00:00:00.000,1996-12-30 00:00:00.000,Galería del gastronómo,8022,Barcelona," 23",NULL,Rambla de Cataluña
10367,13.55,1996-11-28 00:00:00.000,1996-12-26 00:00:00.000,1996-12-02 00:00:00.000,Vaffeljernet,Denmark,NULL,Århus,8200,Smagsloget 45
10368,101.95,1996-11-29 00:00:00.000,1996-12-27 00:00:00.000,1996-12-02 00:00:00.000,Ernst Handel,Austria,NULL,Graz,8010,Kirchgasse 6
10369,195.68,1996-12-02 00:00:00.000,1996-12-30 00:00:00.000,1996-12-09 00:00:00.000,Split Rail Beer & Ale,USA,WY,Lander,82520,P.O. Box 555
10370,1.17,1996-12-03 00:00:00.000,1996-12-31 00:00:00.000,1996-12-27 00:00:00.000,Chop-suey Chinese,Switzerland,NULL,Bern,3012,Hauptstr. 31
10371,0.45,1996-12-03 00:00:00.000,1996-12-31 00:00:00.000,1996-12-24 00:00:00.000,La maison d'Asie,France,NULL,Toulouse,31000,1 rue Alsace-Lorraine
10372,890.78,1996-12-04 00:00:00.000,1997-01-01 00:00:00.000,1996-12-09 00:00:00.000,Queen Cozinha,05487-020,Sao Paulo," 891",SP,Alameda dos Canàrios
10373,124.12,1996-12-05 00:00:00.000,1997-01-02 00:00:00.000,1996-12-11 00:00:00.000,Hungry Owl All-Night Grocers,Ireland,Co. Cork,Cork,NULL,8 Johnstown Road
10374,3.94,1996-12-05 00:00:00.000,1997-01-02 00:00:00.000,1996-12-09 00:00:00.000,Wolski Zajazd,Poland,NULL,Warszawa,01-012,ul. Filtrowa 68
10375,20.12,1996-12-06 00:00:00.000,1997-01-03 00:00:00.000,1996-12-09 00:00:00.000,Hungry Coyote Import Store,USA,OR,Elgin,97827,City Center Plaza 516 Main St.
10376,20.39,1996-12-09 00:00:00.000,1997-01-06 00:00:00.000,1996-12-13 00:00:00.000,Mère Paillarde,Canada,Québec,Montréal,H1J 1C3,43 rue St. Laurent
10377,22.21,1996-12-09 00:00:00.000,1997-01-06 00:00:00.000,1996-12-13 00:00:00.000,Seven Seas Imports,UK,NULL,London,OX15 4NB,90 Wadhurst Rd.
10378,5.44,1996-12-10 00:00:00.000,1997-01-07 00:00:00.000,1996-12-19 00:00:00.000,Folk och fä HB,Sweden,NULL,Bräcke,S-844 67,Åkergatan 24
10379,45.03,1996-12-11 00:00:00.000,1997-01-08 00:00:00.000,1996-12-13 00:00:00.000,Que Delícia,02389-673,Rio de Janeiro," 12",RJ,Rua da Panificadora
10380,35.03,1996-12-12 00:00:00.000,1997-01-09 00:00:00.000,1997-01-16 00:00:00.000,Hungry Owl All-Night Grocers,Ireland,Co. Cork,Cork,NULL,8 Johnstown Road
10381,7.99,1996-12-12 00:00:00.000,1997-01-09 00:00:00.000,1996-12-13 00:00:00.000,LILA-Supermercado,Venezuela,Lara,Barquisimeto,3508,Carrera 52 con Ave. Bolívar #65-98 Llano Largo
10382,94.77,1996-12-13 00:00:00.000,1997-01-10 00:00:00.000,1996-12-16 00:00:00.000,Ernst Handel,Austria,NULL,Graz,8010,Kirchgasse 6
10383,34.24,1996-12-16 00:00:00.000,1997-01-13 00:00:00.000,1996-12-18 00:00:00.000,Around the Horn,UK,Essex,Colchester,CO7 6JX,Brook Farm Stratford St. Mary
10384,168.64,1996-12-16 00:00:00.000,1997-01-13 00:00:00.000,1996-12-20 00:00:00.000,Berglunds snabbköp,Sweden,NULL,Luleå,S-958 22,Berguvsvägen  8
10385,30.96,1996-12-17 00:00:00.000,1997-01-14 00:00:00.000,1996-12-23 00:00:00.000,Split Rail Beer & Ale,USA,WY,Lander,82520,P.O. Box 555
10386,13.99,1996-12-18 00:00:00.000,1997-01-01 00:00:00.000,1996-12-25 00:00:00.000,Familia Arquibaldo,05442-030,Sao Paulo," 92",SP,Rua Orós
10387,93.63,1996-12-18 00:00:00.000,1997-01-15 00:00:00.000,1996-12-20 00:00:00.000,Santé Gourmet,Norway,NULL,Stavern,4110,Erling Skakkes gate 78
10388,34.86,1996-12-19 00:00:00.000,1997-01-16 00:00:00.000,1996-12-20 00:00:00.000,Seven Seas Imports,UK,NULL,London,OX15 4NB,90 Wadhurst Rd.
10389,47.42,1996-12-20 00:00:00.000,1997-01-17 00:00:00.000,1996-12-24 00:00:00.000,Bottom-Dollar Markets,Canada,BC,Tsawassen,T2F 8M4,23 Tsawassen Blvd.
10390,126.38,1996-12-23 00:00:00.000,1997-01-20 00:00:00.000,1996-12-26 00:00:00.000,Ernst Handel,Austria,NULL,Graz,8010,Kirchgasse 6
10391,5.45,1996-12-23 00:00:00.000,1997-01-20 00:00:00.000,1996-12-31 00:00:00.000,Drachenblut Delikatessen,Germany,NULL,Aachen,52066,Walserweg 21
10392,122.46,1996-12-24 00:00:00.000,1997-01-21 00:00:00.000,1997-01-01 00:00:00.000,Piccolo und mehr,Austria,NULL,Salzburg,5020,Geislweg 14
10393,126.56,1996-12-25 00:00:00.000,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,Save-a-lot Markets,USA,ID,Boise,83720,187 Suffolk Ln.
10394,30.34,1996-12-25 00:00:00.000,1997-01-22 00:00:00.000,1997-01-03 00:00:00.000,Hungry Coyote Import Store,USA,OR,Elgin,97827,City Center Plaza 516 Main St.
10395,184.41,1996-12-26 00:00:00.000,1997-01-23 00:00:00.000,1997-01-03 00:00:00.000,HILARION-Abastos,Venezuela,Táchira,San Cristóbal,5022,Carrera 22 con Ave. Carlos Soublette #8-35
10396,135.35,1996-12-27 00:00:00.000,1997-01-10 00:00:00.000,1997-01-06 00:00:00.000,Frankenversand,Germany,NULL,München,80805,Berliner Platz 43
10397,60.26,1996-12-27 00:00:00.000,1997-01-24 00:00:00.000,1997-01-02 00:00:00.000,Princesa Isabel Vinhos,Portugal,NULL,Lisboa,1756,Estrada da saúde n. 58
10398,89.16,1996-12-30 00:00:00.000,1997-01-27 00:00:00.000,1997-01-09 00:00:00.000,Save-a-lot Markets,USA,ID,Boise,83720,187 Suffolk Ln.
10399,27.36,1996-12-31 00:00:00.000,1997-01-14 00:00:00.000,1997-01-08 00:00:00.000,Vaffeljernet,Denmark,NULL,Århus,8200,Smagsloget 45
