customerID,orderID
FAMIA,10725
FOLIG,10408
FOLIG,10480
FOLIG,10634
FOLIG,10763
FOLIG,10789
FOLKO,10264
FOLKO,10327
FOLKO,10378
FOLKO,10434
FOLKO,10460
FOLKO,10533
FOLKO,10561
FOLKO,10703
FOLKO,10762
FOLKO,10774
FOLKO,10824
FOLKO,10880
FOLKO,10902
FOLKO,10955
FOLKO,10977
FOLKO,10980
FOLKO,10993
FOLKO,11001
FOLKO,11050
FRANK,10267
FRANK,10337
FRANK,10342
FRANK,10396
FRANK,10488
FRANK,10560
FRANK,10623
FRANK,10653
FRANK,10670
FRANK,10675
FRANK,10717
FRANK,10791
FRANK,10859
FRANK,10929
FRANK,11012
FRANR,10671
FRANR,10860
FRANR,10971
FRANS,10422
FRANS,10710
FRANS,10753
FRANS,10807
FRANS,11026
FRANS,11060
FURIB,10328
FURIB,10352
FURIB,10464
FURIB,10491
FURIB,10551
FURIB,10604
FURIB,10664
FURIB,10963
GALED,10366
GALED,10426
GALED,10568
GALED,10887
GALED,10928
GODOS,10303
GODOS,10550
GODOS,10629
GODOS,10872
GODOS,10874
GODOS,10888
GODOS,10911
GODOS,10948
GODOS,11009
GODOS,11037
GOURL,10423
GOURL,10652
GOURL,10685
GOURL,10709
GOURL,10734
GOURL,10777
GOURL,10790
GOURL,10959
GOURL,11049
GREAL,10528
GREAL,10589
GREAL,10616
GREAL,10617
GREAL,10656
GREAL,10681
GREAL,10816
GREAL,10936
GREAL,11006
GREAL,11040
GREAL,11061
GROSR,10268
GROSR,10785
HANAR,10250
HANAR,10253
HANAR,10541
HANAR,10645
HANAR,10690
HANAR,10770
HANAR,10783
HANAR,10886
HANAR,10903
HANAR,10922
HANAR,10925
HANAR,10981
HANAR,11022
HANAR,11052
HILAA,10257
HILAA,10395
HILAA,10476
HILAA,10486
HILAA,10490
HILAA,10498
HILAA,10552
HILAA,10601
HILAA,10613
HILAA,10641
HILAA,10705
HILAA,10796
HILAA,10863
HILAA,10901
HILAA,10957
HILAA,10960
HILAA,10976
HILAA,11055
HUNGC,10375
HUNGC,10394
HUNGC,10415
HUNGC,10600
HUNGC,10660
HUNGO,10298
HUNGO,10309
HUNGO,10335
HUNGO,10373
HUNGO,10380
HUNGO,10429
HUNGO,10503
HUNGO,10516
HUNGO,10567
HUNGO,10646
HUNGO,10661
HUNGO,10687
HUNGO,10701
HUNGO,10712
HUNGO,10736
HUNGO,10897
HUNGO,10912
HUNGO,10985
HUNGO,11063
ISLAT,10315
ISLAT,10318
ISLAT,10321
ISLAT,10473
ISLAT,10621
ISLAT,10674
ISLAT,10749
ISLAT,10798
ISLAT,10829
ISLAT,10933
KOENE,10323
KOENE,10325
KOENE,10456
KOENE,10457
KOENE,10468
KOENE,10506
KOENE,10542
KOENE,10630
KOENE,10718
KOENE,10799
KOENE,10817
KOENE,10849
KOENE,10893
KOENE,11028
LACOR,10858
LACOR,10927
LACOR,10972
LACOR,10973
LAMAI,10350
LAMAI,10358
LAMAI,10371
LAMAI,10413
LAMAI,10425
LAMAI,10454
LAMAI,10493
LAMAI,10500
LAMAI,10610
LAMAI,10631
LAMAI,10787
LAMAI,10832
LAMAI,10923
LAMAI,11051
LAUGB,10495
LAUGB,10620
LAUGB,10810
LAZYK,10482
LAZYK,10545
LEHMS,10279
LEHMS,10284
LEHMS,10343
LEHMS,10497
LEHMS,10522
LEHMS,10534
LEHMS,10536
LEHMS,10557
LEHMS,10592
LEHMS,10593
LEHMS,10772
LEHMS,10862
LEHMS,10891
LEHMS,10934
LEHMS,11070
LETSS,10579
LETSS,10719
LETSS,10735
LETSS,10884
LILAS,10283
LILAS,10296
LILAS,10330
LILAS,10357
LILAS,10381
LILAS,10461
LILAS,10499
LILAS,10543
LILAS,10780
LILAS,10823
LILAS,10899
LILAS,10997
LILAS,11065
LILAS,11071
LINOD,10405
LINOD,10485
LINOD,10638
LINOD,10697
LINOD,10729
LINOD,10811
LINOD,10838
LINOD,10840
LINOD,10919
LINOD,10954
LINOD,11014
LINOD,11039
LONEP,10307
LONEP,10317
LONEP,10544
LONEP,10662
LONEP,10665
LONEP,10867
LONEP,10883
LONEP,11018
MAGAA,10275
MAGAA,10300
MAGAA,10404
MAGAA,10467
MAGAA,10635
MAGAA,10754
MAGAA,10784
MAGAA,10818
MAGAA,10939
MAGAA,10950
MAISD,10529
MAISD,10649
MAISD,10760
MAISD,10892
MAISD,10896
MAISD,10978
MAISD,11004
MEREP,10332
MEREP,10339
MEREP,10376
MEREP,10424
MEREP,10439
MEREP,10505
MEREP,10565
MEREP,10570
MEREP,10590
MEREP,10605
MEREP,10618
MEREP,10619
MEREP,10724
MORGK,10277
MORGK,10575
MORGK,10699
MORGK,10779
MORGK,10945
NORTS,10517
NORTS,10752
NORTS,11057
OCEAN,10409
OCEAN,10531
OCEAN,10898
OCEAN,10958
OCEAN,10986
OLDWO,10305
OLDWO,10338
OLDWO,10441
OLDWO,10594
OLDWO,10680
OLDWO,10706
OLDWO,10808
OLDWO,10855
OLDWO,10965
OLDWO,11034
OTTIK,10260
OTTIK,10407
OTTIK,10508
OTTIK,10554
OTTIK,10580
OTTIK,10684
OTTIK,10766
OTTIK,10833
OTTIK,10999
OTTIK,11020
PERIC,10322
PERIC,10354
PERIC,10474
PERIC,10502
PERIC,10995
PERIC,11073
PICCO,10353
PICCO,10392
PICCO,10427
PICCO,10489
PICCO,10530
PICCO,10597
PICCO,10686
PICCO,10747
PICCO,10844
PICCO,11053
PRINI,10336
PRINI,10397
PRINI,10433
PRINI,10477
PRINI,11007
QUEDE,10261
QUEDE,10291
QUEDE,10379
QUEDE,10421
QUEDE,10587
QUEDE,10647
QUEDE,10720
QUEDE,10794
QUEDE,10989
QUEEN,10372
QUEEN,10406
QUEEN,10487
QUEEN,10637
QUEEN,10659
QUEEN,10704
QUEEN,10728
QUEEN,10786
QUEEN,10868
QUEEN,10913
QUEEN,10914
QUEEN,10961
QUEEN,11068
QUICK,10273
QUICK,10285
QUICK,10286
QUICK,10313
QUICK,10345
QUICK,10361
QUICK,10418
QUICK,10451
QUICK,10515
QUICK,10527
QUICK,10540
QUICK,10549
QUICK,10588
QUICK,10658
QUICK,10691
QUICK,10694
QUICK,10721
QUICK,10745
QUICK,10765
QUICK,10788
QUICK,10845
QUICK,10865
QUICK,10878
QUICK,10938
QUICK,10962
QUICK,10991
QUICK,10996
QUICK,11021
RANCH,10448
RANCH,10716
RANCH,10828
RANCH,10916
RANCH,11019
RATTC,10262
RATTC,10272
RATTC,10294
RATTC,10314
RATTC,10316
RATTC,10346
RATTC,10401
RATTC,10479
RATTC,10564
RATTC,10569
RATTC,10598
RATTC,10761
RATTC,10820
RATTC,10852
RATTC,10889
RATTC,10988
RATTC,11000
RATTC,11077
REGGC,10288
REGGC,10428
REGGC,10443
REGGC,10562
REGGC,10586
REGGC,10655
REGGC,10727
REGGC,10812
REGGC,10908
REGGC,10942
REGGC,11010
REGGC,11062
RICAR,10287
RICAR,10299
RICAR,10447
RICAR,10481
RICAR,10563
RICAR,10622
RICAR,10648
RICAR,10813
RICAR,10851
RICAR,10877
RICAR,11059
RICSU,10255
RICSU,10419
RICSU,10537
RICSU,10666
RICSU,10751
RICSU,10758
RICSU,10931
RICSU,10951
RICSU,11033
RICSU,11075
ROMEY,10281
ROMEY,10282
ROMEY,10306
ROMEY,10917
ROMEY,11013
SANTG,10387
SANTG,10520
SANTG,10639
SANTG,10831
SANTG,10909
SANTG,11015
SAVEA,10324
SAVEA,10393
SAVEA,10398
SAVEA,10440
SAVEA,10452
SAVEA,10510
SAVEA,10555
SAVEA,10603
SAVEA,10607
SAVEA,10612
SAVEA,10627
SAVEA,10657
SAVEA,10678
SAVEA,10700
SAVEA,10711
SAVEA,10713
SAVEA,10714
SAVEA,10722
SAVEA,10748
SAVEA,10757
SAVEA,10815
SAVEA,10847
SAVEA,10882
SAVEA,10894
SAVEA,10941
SAVEA,10983
SAVEA,10984
SAVEA,11002
SAVEA,11030
SAVEA,11031
SAVEA,11064
SEVES,10359
SEVES,10377
SEVES,10388
SEVES,10472
SEVES,10523
SEVES,10547
SEVES,10800
SEVES,10804
SEVES,10869
SIMOB,10341
SIMOB,10417
SIMOB,10556
SIMOB,10642
SIMOB,10669
SIMOB,10802
SIMOB,11074
SPECD,10738
SPECD,10907
SPECD,10964
SPECD,11043
SPLIR,10271
SPLIR,10329
SPLIR,10349
SPLIR,10369
SPLIR,10385
SPLIR,10432
SPLIR,10756
SPLIR,10821
SPLIR,10974
SUPRD,10252
SUPRD,10302
SUPRD,10458
SUPRD,10463
SUPRD,10475
SUPRD,10767
SUPRD,10841
SUPRD,10846
SUPRD,10885
SUPRD,10930
SUPRD,11035
SUPRD,11038
THEBI,10310
THEBI,10708
THEBI,10805
THEBI,10992
THECR,10624
THECR,10775
THECR,11003
TOMSP,10249
TOMSP,10438
TOMSP,10446
TOMSP,10548
TOMSP,10608
TOMSP,10967
TORTU,10276
TORTU,10293
TORTU,10304
TORTU,10319
TORTU,10518
TORTU,10576
TORTU,10676
TORTU,10842
TORTU,10915
TORTU,11069
TRADH,10292
TRADH,10496
TRADH,10606
TRADH,10830
TRADH,10834
TRADH,10839
TRAIH,10574
TRAIH,10577
TRAIH,10822
VAFFE,10367
VAFFE,10399
VAFFE,10465
VAFFE,10591
VAFFE,10602
VAFFE,10688
VAFFE,10744
VAFFE,10769
VAFFE,10921
VAFFE,10946
VAFFE,10994
VICTE,10251
VICTE,10334
VICTE,10450
VICTE,10459
VICTE,10478
VICTE,10546
VICTE,10806
VICTE,10814
VICTE,10843
VICTE,10850
VINET,10248
VINET,10274
VINET,10295
VINET,10737
VINET,10739
WANDK,10301
WANDK,10312
WANDK,10348
WANDK,10356
WANDK,10513
WANDK,10632
WANDK,10640
WANDK,10651
WANDK,10668
WANDK,11046
WARTH,10266
WARTH,10270
WARTH,10320
WARTH,10333
WARTH,10412
WARTH,10416
WARTH,10437
WARTH,10455
WARTH,10526
WARTH,10553
WARTH,10583
WARTH,10636
WARTH,10750
WARTH,10781
WARTH,11025
WELLI,10256
WELLI,10420
WELLI,10585
WELLI,10644
WELLI,10803
WELLI,10809
WELLI,10900
WELLI,10905
WELLI,10935
WHITC,10269
WHITC,10344
WHITC,10469
WHITC,10483
WHITC,10504
WHITC,10596
WHITC,10693
WHITC,10696
WHITC,10723
WHITC,10740
WHITC,10861
WHITC,10904
WHITC,11032
WHITC,11066
WILMK,10615
WILMK,10673
WILMK,10695
WILMK,10873
WILMK,10879
WILMK,10910
WILMK,11005
WOLZA,10374
WOLZA,10611
WOLZA,10792
WOLZA,10870
WOLZA,10906
WOLZA,10998
WOLZA,11044
